,ANN_TRT,ETA_NUM,ETB_EXE_FIN,REG_ETA,SOC_RAI,STA_ETA,VAL_ETA
2726,EUT,248779093,kyiSfGfI,LlFjKSFNUYcGCndPDvK,gzXWxKYHcEgBmXtwVXStmFPurBQWKxlCFGZNrZSNaSkzMluQIjPJcSZoKMQQSFA,bW,PIoq
2727,fTIa,480574992,HxK,nEiPaeDUwsfYWRNSBWvewHxHOasUuyvZGbrFhc,OUvtwSdsCkDVuCYSKoZRVlREoYJikHPziqjhqmhaimLOriZRKVivTAlWYCZOVBZamcSlzinTHZOFROT,ib,Op
2728,dgkAF,657038251,oyXyfxSn,SN,jWewoxJBOiWyPeSLTnSUsNOAzyJcIRpSCJxERmnGrexVMtZNXwzWAPX,f,Rl
2729,YH,128410456,rif,tjxfrEDLQLICFZbtxiCsxpVqkaulZsLHFg,jbdKDIoZnmENFKkNExpstbmMHnmukJuGgAgquEjrvozv,y,
2730,a,213684629,jsTyyK,WhNdlV,mZdiVvztrPwTsW,,gJvuclQEASYVId
2731,MjAG,645650606,gpy,VCBTcIHKRFsJHliBiWISUBymoSDjRrBOYXIYRK,ODvdkPUrqduxMBujJtJFyMOEunMPVwHCAqlHsBSTratTubcfhFOKOoDVkmeArcbWInbRKfWFOfQDt,sVH,td
2732,mEpyUF,523706279,KClF,dsuofJGhJYJzacTljCtIkSXoSKGkYLgH,HKQmYdJMAgAcjPvjkyMPJKCXRYIoCHpmQoaagetRRALSq,O,PsNtnqYukghuTehAB
2733,YWhwSby,231924569,,ozGgGoXyjPSxzRBSgrqQldkIlHnKw,yHPYSeLcKNotDApSOjrtwxQBMwgGFeHAHwqqdb,Vs,LweEvzKNXPP
2734,sVlKYB,408950838,P,buQK,LamqwtCtdGtHTVxKucjaDQUHLMUBTtFmpENyCbwpyRCyOvTuImxq,z,WOauySuXZLtzlbK
2735,qVhJs,375082840,VyZlwg,TdEyUzgMWIsvCjHNEKFivwiXFKFxe,yvywsuJfcJSnUxJxVgesUGVewpBSGRG,,OVyRsamtlIdqbWIqQeQ
2736,AIozn,319480418,NJc,X,znLfsx,lN,yQhumgiUqFrAapfHeoGb
2737,LXa,951570819,IUe,dNpwJASgKxavOnuoJVFedc,UKyOWjLRSPdjndRvKpRECHwdReGPNCoyYxUamWJeBIEOfEECldKtENYhQfHgYuFJPUidTFR,nT,RMoiGXbeT
2738,gU,852686961,SjvEzVCI,rtPxxbnRvsBtQDstcK,GXUxVzvQeXEitlUYpfCeF,vQW,OTPtxUIYFiQlthBsdz
2739,V,578461566,,XJHT,irD,TU,CyK
2740,J,582588039,,QXMRaWkTUQLZasbjEnIv,XzfvyMxVlStPkrYxnibPDOaNDbpIhDrxAcevqvCDkoMV,,hHrgVjw
2741,,998346879,WpHSh,EFhiFKEjGXOdOJsIdOToaJifwynTuyEf,qSLsZvtBikizvuxZlfrwzONipf,,eHivxxrFUmjk
2742,RGt,905347663,TuyMVvrX,xxJIDysnuwZyCClMrjHzbFDcoQvWuatC,NRmIVaRRhXHSYruCElDemTbNfMRuOYaBXuv,TwS,tEkwymMxMtEFDYPlQED
2743,,191183187,BmNa,isAmxvGCgAsYCLPoeOKBis,HWlbQeHEebdQgfHSrOyMUBxxleJbOFXNbCcYWUDkGHQDjgtCrkdsHgAJPlhFt,,tJAYPQOitbjHNvJz
2744,IrnY,801571694,,omqaHkkFeDtYdVSATnHTxYrxXQTq,HKIUYJrtHHMhtsv,yx,lNOIytAaqzHMROAwr
2745,jzJ,163388038,N,MQaLO,xIxhhwkIXesKjJjrUsKLkDZQIUAZFBGgSsUElBPvXwgfmRDIZBlrdjNqVTyzLCpHHIgPYfcnx,,MR
2746,PZ,989723530,UUYHWe,FLOGWyBBMaAFrsLFZpb,jCaOPxnOEBoycfADyHCkuowDpgsSqLtzsccKrOHGGlnxWpLMkHYocJjM,,CLHHqmTkaEkTJrXJjdA
2747,,595857531,OzFtdC,DcfBfkJf,mEnUdXfpnHUdlPTeXjUxTNxFSvvoSAcz,Onk,bYCcPlYv
2748,QDP,463835370,eL,KZOlLFWXqSLJFwFAt,gQcsfkRPfrVcjAaEIULFYfvmtVma,FAj,PkFqmuIAHxhnINT
2749,hpZMWcG,482462668,xwSk,cqAjQCyUFUE,SPVLNpbcywkdKNsslyMiCxBELJgcWO,,KPTWhTat
2750,V,997457019,TVb,CJOM,yBQSDpByeaWwPDgtNcPlIJCFocxpvdsSfERujkaNrMOJSgxWzKiiRqFxZUQ,DE,LZQCQRSeoqatH
2751,,355463033,SIfqll,iEONgmDBuqajEvoQkebPm,YDWuHhtNAuKMpRlYvIwUwabHNGCmBnfEXGsxzAMBnHapf,TeX,pTrcLdaH
2752,COaDt,349317508,lqix,WbxlzVxBszhy,bx,TqW,TiGO
2753,PbGFWu,356434509,PW,zDsaG,xRYAkImhreYDUoBaBuSRkmqspipluEElDpowLRThdMUiXYwYWzyLlHFCbKqiBKWZ,ajL,o
2754,acPRhl,743534422,PknSBS,UVWIIcSoFNlBrMFCTJxaazmqOBKn,ZsZucruNbyOmIjhABCeFixWyOUCrzuNTKFASuozWlD,n,vBVBjhGdZxSgDw
2755,FdMjxk,298843419,aQTuQvIJ,jzjtgtQ,suKIlBrTVavVWIvGpLQLBUhopqEOMJXKPpnXSti,,wCba
2756,gtQeocY,251860604,MhDBz,UlRTOOc,hmPOFpaOWlMGcNxnRzxbihVyRFpjLr,BaT,ypirokeFTL
2757,wUw,703927136,,SwPVDxKLUHJsRonPnGqmPxzKJcRKvgPJY,FWBDpZGCpfiDQmjrUtcvlkVEZroBdQFxiOXohAKSUTydE,LJ,RSPThcOWFrItHIe
2758,e,187422126,xBzPN,MvrpBviogRiqLDcIeuyvvZOcpFDtoHZFsJDBykxv,jTIU,QuC,AivJhNPLqM
2759,Prd,961462744,yF,wZMpW,TkwRrXECeiWmolDOycdexMWJPoAiglNNojOIuCSi,E,AoXPYGAnTmB
2760,TGxm,425614410,QIyPe,lpViUyQhBPLHeQkcqaIjslbDrOtGkVHYXefl,kNeakbhMAFdwanEdZi,v,QOXnaYYbnOVwRYR
2761,TUfp,712995911,ps,npIydwtkROTIEUqzmbWrQzJqFBqhpIOFdsfyGP,BFJpvzIFcYGsxTmXWsmBhaytwgUCLEcsLTqhRTcyeGTlIXHxaV,CE,zpQxGmGnJMgUjudIoe
2762,PDCXxfj,209825650,zF,cfKKJsMHNmaLCXpdAfHJRrTSjMLYdDjK,moAbpHmzQpaadPQArgSIMiybbrgkjsVufhTgwUvzCqwHHhsRvyGofirIKohGHhoHUNxomvgG,iu,DuIhIcZcOnjHjy
2763,fvbz,972984392,,WxgIGYUnjJIHSwItUSdezmWxRWyNNmdAqYcbt,LsLEdEXxoOkaMwBNblomppdRFiQkubiwIPpAinveMvBMFFefWkDXuSLLgkDehNNyfDwqmPmILSdWXedp,z,FYQB
2764,payx,515610154,XsMSsy,ceshMHfpMbdptHtwurwvTrWB,phPDQVsCEYCCSVfaxVHOMaysFUSHkGFezfezacIQRdIoAonZTyDwDgBDPruDPh,sA,WdXYO
2765,cnSpZ,463192056,CVEzNlG,WuonpmfgaLOgGibnWoCFdOBLvKlsM,SjvmPliXmxssqOHBzGRZsHqyrPAtUkqgWxVPjROdkUw,J,jeSno
2766,fBvD,345854605,HBWO,svophWGAyag,PXADfwECumiMZzHQKqQiEChaTRPLlABaG,BHG,OpYWhehnQe
2767,RFDXmm,916081224,lCVEoiF,fGXNWryJvFAHtfR,XJQlZTeFcCjYOocHHnQEddBzeOGTQfKenzrUgbrixLYNSTyJjhhHbejfhZDUoeJHsM,ePm,NHxGYtj
2768,zoJgflW,731772771,hads,FbpVHNQkKeDlGCEzbAysdgDWBSBwtVGYXASxfn,kermrZJzYrGHumXnhVWGbSAuEcIgGwwYLjsSYFsgGczOvMNTsYDMMXlUEzDBEwMxtdxlorlntv,kv,eFWsZeaz
2769,fLdlfx,549372347,JBDMl,wNszuSlflzXrNVVIOhFTRCqtqwHWCwVg,LtTIGccgsvFdkwFHxYjH,,kKVrHpDRATmueWXoGZf
2770,STALX,164663584,erNFo,OmMBBNRgorEotvyfvMpDvcV,sKIEIlNzTkNwujhEBKSDSfqBrIXiUzJB,R,
2771,hiBVi,974610183,,FTFGCEKKfnPpyrQxlY,RpSGgzbbSsrjQwUXuLUnOfXJpdKvwWvMyuDFdXmTaVKevoFFsd,pHX,vQpCLu
2772,tihd,901802287,v,jgRBDMOvcjBfe,liwVEhafEjCxLljvOzMJDafhAWeRMaeqscergpUIulvDSAGItChxjaXEZNxJLCL,oa,oiX
2773,Bow,977725865,,TgTorVvQGIRBhZSaYuEGLacEAvBiknyHuiinJt,dIPXcir,xn,PIZmQvulYVAc
2774,Ior,702225829,h,ujSRgFrtEprTJsEVHDSrJPlDBNfK,NJFknfOPLnjRcVIEkYtdjtwPTPeWQeXTbWLxavSlLtYT,AZK,FCTDMQcpq
2775,EacJRri,959502439,CJTNnDjN,gehIEnjTaVxSMmBdTRRhRDDmRIx,IEDzSrspPgiVqrbtkMarSqPX,eV,
2776,DCbLz,484196226,L,ICehUuCWIIqjEEkdQO,PgWRLSKyMQEMysOLgqkasRQdRAUGamC,,gxcPJAaQwsLnZjghd
2777,,278262407,kO,rJJDhtpGmyjxeLSRhdrm,iyLURvjrRQXUNqpCbvbjVAqWCQUfgfAFlppKvFisWUfnDyVfaVrLScMybIbiNqHecWAkibdgfR,RJU,lQcIZnciiFEpSxacNQJ
2778,lryFFnz,446361090,,MSxOddIylayMIDHintjaFTtXsXKbS,ImYJkKAvbZPhHQFSJGbLMijdtfNaVqugGbLWfbfUqmSXAroOX,,uLqRjhLYUkNNCL
2779,,417343580,aDwTCy,XmYsaGzaPJSCciXGUSvtoXsSfnuQSgKZEy,RtaxEtpbkRTPDicQaghsEliDMFEdxBtpdVeVmFzTTgImQlXiUMwFxCHkVyVvXScjYlYckLUDh,W,
2780,,356512550,wH,,t,Q,EoMSpTJpZmaxvvmiut
2781,xL,797672807,CcjmN,g,WYSomGgVPtiPAjvHGHEOuktExswMITWDQFgyQVQOKTdnPavHhVfgqxfVpGrTkCclNgsXYSiFq,,PNCnzBfesTuROVWLs
2782,WI,506826120,AoVJWQmZ,OZQRKUniE,BariOySs,G,g
2783,u,146349753,d,VujdWD,hhYqQvuGazFvNAAAzXWBKhvYIdBGYrpksje,Xj,jzr
2784,,177911576,Vkz,GqZAPfgKhhVHFwZJjKTqbIMqixoJp,BddaumVuBUUTihgSnxxBxbvsrKRsTRffjBEzUqkZGkLbfhgXr,VI,u
2785,JN,490438901,y,,JyXWDiZSTQLfnSUeGewglnVKaGmdPdoBJGALjUYJqACVbrSwewxpUwiS,Ljz,TEqHqwCGJFUdljuvh
2786,xB,804763365,eAUycE,KEuBxpRiBkiWfiHrUacueDIAvTgggiQVnja,gAHgGTEWZpEtJbCHivGykeluxKEVxHVSwzCbtnMtfrZBWc,KTG,jffqWeNzpBzvFV
2787,MuUUt,223225906,OesoE,wg,rDpujDWEnhbsQqzrvYtFHDCTUqZFLHUljnqPa,y,LjuTsORayWjamrUSRjko
2788,,280754164,,qyUXDVWyhiJRrWDRdjzQovBgGEQvISbpUcS,fouu,CJ,eHdIgtdRcMkGCBI
2789,I,306470939,ZZzq,IqWFAtqpjQHWtHGBDhpQqyzdESEOQWtisfDIQ,MwOlRLNCypwdsodWofeIQyJXviOyXntOUOeT,,Zljz
2790,YIvY,822930430,D,VCWNRYIkuHGSblaF,SYOCOWKIHrrCmCDVPsbwfsmBlURlkOuKopZnbG,Sl,JS
2791,VQ,100125892,OVU,jksWzTquJdgrOtYKgsrGcEvjZIdIwijMYMCYH,kYa,oeb,kZCFFyyGcsQ
2792,n,519685709,lg,yrigOeBGDoweiTJACNCsJj,EwsNU,WMp,QnFaMuS
2793,E,732907695,axbv,ZuL,,rl,FEsiFklzwkBgiw
2794,NFWsxo,644420360,qse,AcqhfmHfIrVAVGbbCbpx,URyHYOYnCumDFYZEFodueSXgVpieSxBHGDAsfwCgKyatxWaYnDPJYcvYqQbhKAFFykaI,ymF,yBJTrL
2795,wtyVZY,235552287,ZOny,fxHafspJTdcRculgxEWbuUtO,juLVLWgmIUzFJTqiteYmw,IRT,KFDNEvP
2796,hVrYYHJ,663237092,kksaMsAa,WWrrxhYSoijuVmBHnoLvOJnk,NygQtNhpZyadEtzJZGvITQdWTAQbeoCdm,Q,QHqnz
2797,WMfkF,972349414,hlc,SB,tpOvAxWAmHUbkrWxPFqsfCgtvsdfsxYSyQIkhLMHgeSegqHtLehqmDsbciyrGLuK,ZTg,Rt
2798,N,845126243,VRsyebu,eAgYtJSmNXurDeSiSWVs,ous,V,ssRbSjHXYRZTs
2799,oQV,574062475,HoU,nYhZeaHiIKLSDeIXjjvBVlIAiUfYwCqNPhpNtNU,zbIzeOXIMlrXKczOmAsgPJce,,oqYYfly
2800,dmkrnUO,460932195,Zm,owihOWcgJgRtQKBSceVDtxS,ngKesvKfe,PRs,gQGPPGiLHTbBz
2801,ANUKegy,314581936,VpdPlcvq,,wtsGQuksZZgaLcYxGmvkkLrNeq,woc,u
2802,eZ,739114495,Ka,xaZlDLwwHEMtErRuanBsrwoDIo,JuWIkSFhVznZpBPjNKdJtOkajXkgIJbQFJarYqJOvQRzSdTxpEzbalXfmuSSVQdYAtBW,wIl,ksBWSuQiemWB
2803,j,813220759,h,yIRcZBNsxzkiWAxPwbVStBkelaneL,Jk,Jf,TbfmrYLdQrcCEhCbLfDg
2804,zGt,599121118,,PaBHJQtNtqEQIGOJEBycPVYHNeIufDKXeZw,nBaspWeKWrYqZM,Zp,UgVSyXLqXkmkiKnYWiH
2805,sjbM,608367390,NcUx,zyXJxfMFeKbEVjNqSLQtgpJ,RpGOUaCSeFHhtDPfFiUVZXKMauexgyirlYOuZWBdKDPAwvifVqRZBlxwjbGh,Db,gZWDxPiMRxOSmBBceouQ
2806,YJTx,621652115,J,HfEEyZvwJXeQnznPpvqcboT,sKSFXHQvyxWwrcAWXLNqQvOUktSbPCTehURtUEaaUpfgTQgGPGBpusIwZ,jI,AZkrflhjEl
2807,DiekIAb,760910118,dUcwKx,TcaPcXqWNkn,aeXqSMEtThbeEtRSHN,,bskSxKNUyEbDPiwfCs
2808,mQ,893837678,FgSFIs,HNUAeqaXwSVQVTdABkCZxeeBSNrbyBk,ixj,daF,KBAWAiOBXlxDiCHLFy
2809,mBn,313951381,D,feHFaqDXQNPYbRNQxnGSWGIdFXctxcojKdtR,COFOQiGDOMiTRFzAnsax,lgn,oMMKYzioxRvgzwuGgQ
2810,lFDPxyT,989337538,kdjomif,hRSzlxIuJcWsj,ORuqBIO,,ZlNZBQYx
2811,QSExDvv,732280586,,NIOdAkcRUnxbLQLg,IgkvfzNJzNZargYNUbGxUXIbLqOOAJCedOcItnfuaEc,,uLrHB
2812,vdXkokm,985209218,oPL,rcjoCuiROImFVvkzybvzksTcWro,JYdhAgmztILCAfpdVJvnpeJVRwBwClvtZGXXUXVKNLTdZMsvVTZUFKgByzUtikCEwoJqVLEn,sxU,eslYqTkHmOBAOp
2813,PlpiB,808560935,HNoUTpPr,MLWrZwaGPJruQCGBbwXKCCFktZwfoMNIkliVe,owhQvfcgoRUPVTufgyrPkKtebkyltBuwTWymVLAlxtTiuugSBgKKY,F,i
2814,NnGCbg,252494759,z,mobIOfurWeufektKjFqGAkKnarkhHlGlmEz,ViZsDRDaZaLmDBJiSUzBsGwGpYGeffwxcxhypjkaDCTEdNjPdvTON,T,xmTHYiBJCpYQTilCmqN
2815,s,410420765,,Gn,luAOAABWrSrUihPPfbrHrRbkKOQnLZnkSwbmSKmgDkezVbLTpnwew,Wpl,VwhaNFoyRqGPkEfAiEX
2816,,996183716,,kzOdbyOCgLJAkKhrWf,osZXvRSzQpioHtpAprlKVdSpLSOGHduYCyaEUCWTqCusbsaADBnlfKOciGruxPgjCwHhTBiLWumFgF,bk,RxJ
2817,tJCCH,208814533,kBRGL,jRbpAHWOBAlXvTeuSEULkM,LQRQlrWgYXNtJxzXTqyYQwaBQeISyikYYbTSjPWN,TIF,eZcYjnmtaWDzbI
2818,BT,314542972,XFItm,NRQaSfC,pzNCCxXuclLjCkfazBZYbN,kj,U
2819,OfKchUG,855912084,It,JonqJxjQRAiW,hRRWLercMRBeHeykxUgnHvzdwZxPqEHGnjsbqrlPsYkCvhJKzEaifKahIH,,EeqlBxnkzz
2820,FnPEh,848226370,VKDyKdX,MUYrT,uEofTRSYLhMrnkzAwCACLwKzoSYRAYKLHORvpBonCsyXrsgePhPNl,C,IN
2821,GdnYZ,760147886,AmbLX,MxvxOwvDEWpetHvZMjGNmj,aMbXPjyHyirIsuGvLVOryvSYRTAt,Hd,QaMlILtETWosbuTHLU
2822,vIN,907884509,ziVfst,LhYfGDev,JbeCwuAbqNTvadDlIPwlURSqDyuoPPpEDBlmqisPMBuifJAz,EhA,Rto
2823,qEMbI,689191253,dTX,ArNzOvIDyCBjlWCtySSrAyYJWEdcXjIJqswgavX,iiPtRCksCBrWzeibLgyzjGLzrnclZy,s,JfaIbzxVUX
2824,nxOM,801620336,zfNBInx,tzjVEdJnDsYRFY,ojdzWtbFmblFzSjGuoehJthyUWlURUZyqFwPKRPyJnjDFqYVGlVOgrQRanxtjGaCsdQYIPXDIsbYtu,Wx,vUTmCH
2825,mcLUBw,830286633,h,oZAMiGxJpGckgepRfLLVuejhoUpLQSmMxia,chcdlSJLHcvuYxHyFwBGEgitdSOXSfXrZNenYVSPPyxjpxbzkRLjkFTjV,,pIqrGM
2826,XoCvdp,227909223,nD,vGamMfKQvjdAhFGGEoYQeqrjqYe,oEomBONhLggPjfLWSKNIDbUxNgFbxmoFyLOcJkwrDAJgYRqzQpgAtUWtBHg,ixL,FxkzUFhFmTIYPrrR
2827,,346820294,ccO,wNznihulqbmXRNBfWqiToWAziOePiOc,AkazxQuaLWmbIrFuoQtsmkgGUZ,,uDShmRHmtzHUtBjOJ
2828,t,401943776,,kMcSUptabSiXQdqhewGUUMsyBFDxySVPlYjteZQV,gkppxociYVWFlBZixVEhfjXOkCxgPdbXXWUMXZBVoGVEhbbqPjMXYvmuLsrPZNsmLZXwZQKNhOHShLXY,ny,GlvwXgZw
2829,ERTPEsP,866363898,RinK,pBSSyzpkjcpFGKzmszPFmVHtV,zYR,kG,radU
2830,xq,194508659,,HGkGUMvDsdMqsSuPfwwBcLAjFnVsovTMWqmar,eluDjUnDrGFuZCckNWiVxoQMqyHPCKbTQdqFRQmEfnSAEoyRRxpxmXoHXmjudow,DT,yGBkGCzvuguVeHR
2831,efSUBYH,894035208,s,FJzUYYAuEQGYXyizSNEfbUIrkMmkjaBbCqoBmXGG,VkQRXupMdycIxIYUeQerEPzvTiRcZMykFRbkyuzZrOnBoiYqQfvKjWifelVfXlJfUNJJjy,zJL,rKquptDTeGAqDG
2832,FNwPps,377358571,VzdSvAV,JUm,pbJfIDpjFm,V,BOlWMPIYUmjJXMB
2833,TIQGgt,394627390,suyJKdb,cXlkdnbsSboxFBtXZSKbMcZrS,YTOcLKTVePEfqYgYcJPWwbRNxnJ,,lrJnP
2834,C,690238521,Z,f,GogMAdQylAHfbJpMMvDGnNOKHgYDxSzkgFPbPfGvZNFMJvUBrSt,fp,gSeLDqJwT
2835,cfR,432893523,,TETljcq,NwJjWMeFwJVlFkImzECmwfCsdzvXOZJBKRyZmguheeRmceTjmfcdHN,ZOa,EEZHdyIkoYqtzHOflc
2836,F,331790280,Mk,rhXBzcsCUJMAKhjVo,QaNiHAozboRimYaLYVtmaYMFuXVSUBIalMzlIXDTaxb,,btHFoMpVVXSkKDwk
2837,,237407940,tgNobbC,QLXTYQlDQuPkcGtjrgGINQdXDpc,BFzuudWjCwnHkBsQDgUOOKXOekBPeoliOCIotXTnCvDyjLtmKzOWdTRuwxICOCVN,U,
2838,qFE,737690780,,POdacKtuiZODHYYTBuPseanxASwqjkR,iAqWWFxAkpGKzpvXTVgMRVGmwIepsHdVFdnlNhnabNrXjYMXFhuxDCSBBZiPBIJh,,EA
2839,eTfUeZ,794289162,MYTu,GiONZKYOudFYsakjPjNEZXtiryHRNOxJVUpZGEU,shHQVkthwkhgEEOrKLFeBKmJqKDfskvvQVpJjfzkrFpTruxSKuxBsMNfAfStalkqKmJRIiUlNZWC,SAk,dqAWfIMug
2840,,540412786,QLdLZ,,ANOlnsvhgvbmqsKDsstNRcbZMLPaibTnjEmjhtvGIaXsYnjVJyXgBOvzUHfOQrAqBcrbH,QZK,aZMPdlKsfuAykoG
2841,zdXiw,541373408,a,IpwFH,wcSTQOaQHiGUbRHWCLXVktKjqAyXcmHTCFnCjrm,zJw,dpPhWAcExBLs
2842,O,863106542,bKDNUVzS,KWxNlpdaAWtWhgU,NpZtSqKjxyUiCEBHVXMDHUsYdhWlYtjtxHOFDbyCMXuiXEzvELjWiVHoWRTtcFPZVGqhRt,,jZTKzJmHbxMp
2843,iVKwE,185475228,RCRklFRH,bvVILwwxNNkwrxLPKIroVuwFysSsRGBSckyZK,JgMENLrrBXbhdWdIIvreGEoHKVKebAtABMBIaTxwqIYHUqhybJmCMsGmHuXoU,ne,wBnakfsWuhSxFoD
2844,vgjNUA,599454311,,MGtPztaRuOhdsgYVuyYEgEHIq,RuLdRgjtXgAAcixcVEQLokmcjNxCUtJzBJyAmozvSDKqYmBHiDkomIxwuPY,V,DRTIGNKdKRK
2845,jdt,442058333,oi,eBVhEjJqa,CSrnlXGkOrrprCMlAmqJitIRAhYohRRfmFmbtBZhBMNkCtHcRQuzjCGVjSmHWODeplkDs,hd,tPopK
2846,jnf,686575833,IlLbD,qsfHgDGCasvjMUXQNDxDx,KPqVKIVfOpjeLQeYjxEryhtUJOPRKlpxkeoHXcpcsjEeVoHftoQWUACIhameYKGPmxPuYc,ce,zgOHeeReDOR
2847,BYKgx,134377144,RWDckI,ohOuxYSpBMmzBr,zlNrvXPYlJNKIAEJoJsIwwNjQGmUMnOWWnefdNkObSicwhujgQtrGGngzZo,q,ca
2848,Qsv,410875819,RDFXxn,cwZ,SjQbagJiMpeWqkYlSlpwzNOdSINskStWbrbBXuPOlZlaFIgcKXjBHMsJgCkCbdCaJaDBKCAXRiS,V,vhhJUdNsW
2849,U,438872378,EvE,vCqnl,RVFMqMmHWqNClymBotZkdMmqNECEhvMDdFkHurGlTydEQRzMzBlSARJCXhNgTszYepNCiEEoyOTGkSxX,Lz,ZWgLqVx
2850,gHWVz,441722684,vaAnOt,,AEACfYGOcUbEWSsnMMJdZjWdWELZWKHGcWlvRGdaGysMtRWPWqTjsuQNntnryjceuZfaYAU,q,tuWWtOuKeTlke
2851,r,502341283,WcUjbq,xSKUdVWKWnpxtjjhnAWvxSHWpSz,CJEvmTlPHrkHVKvrErSLKWmvhEHVtUzrPsZll,,qgkEfsuxBdTHLYAxah
2852,CuudAmo,421529011,upUj,EGBQdzbFJElzgQvcKQiw,RrtipbhVgpcyfz,TxL,fIqSCLnBVyADF
2853,u,303664509,HcReHgt,Mhgb,VJMFQeZLqBiyKsbNDzrPeJukcxqUOrlZbQ,Ys,FwH
2854,,761946723,,RlQEMpkKLLhhcsZtLmPTBxMHhyQypBZhHuwOCnD,dEwXsJOaSkUbWmegPUrmineFZaT,i,D
2855,YNDej,907655519,,,gBqhsVTXKRUWEyJrrHNsLfHRbxNIueosvpJScOFpTAdXddnKE,RV,QUFbWTBfm
2856,Zod,807295162,rkkUKDcD,jRiLWWYBcwXMF,MoQmpGCBSdHlDXDaHJBvFRwXHvhPpVXnCDFMsHsgxOuxQkp,,rAQQaJvcRatwZENkadM
2857,hBLnLC,401566126,Dd,QgpTeBeddVbccEVIgkBczQXWEgCfzj,pxhckCVXgkHtSjSyxABvRTjhSUtyedw,,rRGJIYFde
2858,Dayipic,261780915,ECO,XnMggByPoVqElbdWiFlsrpKviQdzuMzv,vAYMuljeSdyLZeeGkfMbIsCFoTaFWRrFCUAxolZowSTaftldTsUedeMztOnQAFmjqZhFltkpN,,
2859,kDihJQm,241979981,RgVhQHOK,iUjvEvlEgQMR,zVREMIwUUlYRYMoXCOaHBnXvNWDDqFPpXrRnURtImAMUvKnJAZWDfKVLadNXlWlKQEyQnOBYYJ,bz,KKlhoGvSjUA
2860,Bxw,577872687,,cRWWgGMIvEEnIJyigq,EETIXXnoCHTbIMLKLoGvxquFdtVoB,R,GBcPoz
2861,xZ,763973090,eTGzly,osBayXDWxqINLjIfEfbwoLENGZSoOdHzfLIt,uuRTloOiqCTMrBvQQNELkVhabyJIKhILxGnkQFol,Y,piiHhwwNWgs
2862,p,274260208,WjxGiV,puUHgNLcGvwJjaWxIfCHFjqwnLktFqMqz,G,Mva,A
2863,fshG,276673188,,KpPaMg,WygYtGHSFfRwJluZFyLNdnfuQMjTWMsuYZK,OyC,xsWSBYIby
2864,yP,609298212,can,PIWslERMFLEICTesPlBKBzxNRIPJiHknBxAwwOSv,VylzPBPQMIIMuYwPKjrlDHSqaBDRdRVxdrGYRSOiNMJYhotBKoeFB,r,sbrYCDvBTAM
2865,xavnuA,151951417,pOUcQX,MSLgqdJWNDZkpV,xCEvvjiyCsNHDODBDpF,YH,HoGxcJI
2866,hP,932973699,dWEM,hKIsbLqsookPKGGLmirkNdNryy,HzcATBrxEVUZJhgb,UUh,HwPmGnq
2867,s,710965222,ObA,OdQwylp,OhDdgdBgPhtginonNYf,Z,jhdCKZKtoxtUQtv
2868,HXN,798626396,PpoyH,ymXkRIoiudrFa,tCRrObAEyYpONucLRTVckVmhPrWqRQGWzloafCrnjpwaZWQNidepvqATRJBeyCUaDqJfKGwuSg,ie,xwNgyEWcebqNXpdR
2869,bwIH,593675452,,ejiLCdmTfxdowbKEVrgsfirBbrYbTVwaGqwi,WSRbHjIsvPJCrAeR,caO,tUCPXSGZiTcXjchNReKA
2870,dITUC,858622683,,nOKxnjDiLddNfigxQsrnJp,yRRDeOqxYxwfxzAxXZUUZuMyKucUGwJhCHxdyVFMQaIpRkgAFokrNAwfuLyjcQV,d,pMDlOxZOjYBmLVQBbM
2871,Kp,100674006,EQsjv,GPaWsMKwFziQzrO,IrYKJzDNMdlmxGPZENzdp,e,WbuRVylxPObcdnQ
2872,wRNziT,912893865,SkTkddd,WHSGBnKEThHfYpEPdlmDgSKHorv,JdLqNCgLHWDGArOlVxjIGsWCHyZemlHjOZAliFNDgozNlu,,gZcNbsExpR
2873,C,241930427,K,BZtSLolPGCXKNBVPZFMQDxGctq,VI,qOH,OfDv
2874,wV,337431240,Cb,lPeynCLbthqRgZzWsxvOYJyzMmwCCPLbCd,JSUqIZQhnkkSANzskI,,
2875,fkOZb,887431713,X,JQLqlxRvsdQhPDQYJkdexvMMfdXdkLSgiMnrh,chdJdPiVdTadVwksDOjKjxXKiKMaAAWLWVeozhpHnTi,LV,WAqBruVIgHaiY
2876,,804354994,Ev,EqNtwOLn,mBJuOHyNbrnajtKXdZUsSTOtbirDKMCOPVEKjZPskrLpwyZYXNudbcaGnDVT,OI,WlpG
2877,fushf,219839852,u,NVKWreLIyoVhnNUhdXpsOhIzRzexQRm,yASKdkjOtZFnjFBgijoI,aCK,EQiZqFxe
2878,JzmY,650752737,OTA,bmKpBLDfmzAuPNodoBEjfkepakquu,xXvuUqjbLAuqTYJGAOPqiIPYEcT,,StRcXtOVLT
2879,oD,658476223,OTu,QlgVTXloVOVXCRAuzdICbiwIaGxrXkZY,ntyOgiIYdQEwUgWrTPSnSaTETshRcCiBBWovpYMtPNDGCMIcKDKoiNQvijbbAsOPFrNZwEePKgG,,OFpJFDvyFGzeUAojrW
2880,a,943090841,VKAjqjlJ,ta,cEAKxsjLqcXfRRYMmnaxFhltAtRWngBifLmMLJVBLEPW,eAS,kqPvnoWpTY
